"","TraitName","AccSpeciesName","OrigValueStr","OrigUnitStr","StdValue","UnitName"
"13296","","Clarisia biflora","184.45","mm",NA,""
"13297","","Clarisia biflora","104.95","mm",NA,""
"13298","","Clarisia biflora","102.45","mm",NA,""
"13299","","Clarisia biflora","103.225","mm",NA,""
"13300","","Clarisia biflora","85.95","mm",NA,""
"13301","","Clarisia biflora","75.75","mm",NA,""
"13302","","Clarisia biflora","88.25","mm",NA,""
"13303","","Clarisia biflora","81.85","mm",NA,""
"13304","","Lunania mexicana","Bongers","",NA,""
"13305","","Lunania mexicana","Bongers_et_al_Los_Tuxtlas","",NA,""
"13306","","Lunania mexicana","angio","",NA,""
"13307","Plant nitrogen fixation capacity","Lunania mexicana","N","",NA,""
"13308","Leaf area per leaf dry mass (specific leaf area, SLA)","Lunania mexicana","180.2305102","cm2/g",18.02305102,"mm2 mg-1"
"13309","Leaf area per leaf dry mass (specific leaf area, SLA)","Lunania mexicana","55.48450142","g/m2",18.02305102,"mm2 mg-1"
"13310","Leaf nitrogen (N) content per leaf dry mass","Lunania mexicana","1.499","%",14.99,"mg/g"
"13311","Leaf phosphorus (P) content per leaf dry mass","Lunania mexicana","0.1554","%",1.554,"mg/g"
"13312","Plant height","Lunania mexicana","20","m",20,"m"
"13313","","Lunania mexicana","-18","",18,""
"13314","","Lunania mexicana","-93.5","",-93.5,""
"13315","","Lunania mexicana","340","m",340,"m"
"13316","","Lunania mexicana","24.6","C",NA,""
"13317","","Lunania mexicana","24.6","C",NA,""
"13318","","Lunania mexicana","5","",NA,""
"13319","","Lunania mexicana","8","",NA,""
"13320","","Lunania mexicana","4725","mm",NA,""
"13321","","Lunania mexicana","4725.2","mm",NA,""
"13322","","Lunania mexicana","6","",NA,""
"13323","","Lunania mexicana","6","",NA,""
"13324","","Lunania mexicana","0.850941571","kPa",NA,""
"13325","","Lunania mexicana","0.850941571","kPa",NA,""
"13326","","Lunania mexicana","5","",NA,""
"13327","","Lunania mexicana","6","",NA,""
"13328","","Lunania mexicana","162.5","W/m2",NA,""
"13329","","Lunania mexicana","162.5","",NA,""
"13330","","Lunania mexicana","6","",NA,""
"13331","","Lunania mexicana","4","",NA,""
"13332","","Lunania mexicana","1302.975","mm",NA,""
"13333","","Lunania mexicana","1302.975","mm",NA,""
"13334","","Lunania mexicana","4","",NA,""
"13335","","Lunania mexicana","3422.225","mm",NA,""
"13336","","Lunania mexicana","3422.225","mm",NA,""
"13337","","Lunania mexicana","6","",NA,""
"13338","","Lunania mexicana","3.626316698","",NA,""
"13339","","Lunania mexicana","349","mm",NA,""
"13340","Leaf nitrogen/phosphorus (N/P) ratio","Lunania mexicana","9.646074646","g/g",9.646074646,"g/g"
"13341","Species ocurrence range: climate type","Lunania mexicana","TROP","",NA,""
"13342","","Lunania mexicana","9","",NA,""
"13343","","Lunania mexicana","20.7","C",NA,""
"13344","","Lunania mexicana","21.1","C",NA,""
"13345","","Lunania mexicana","23.7","C",NA,""
"13346","","Lunania mexicana","25.8","C",NA,""
"13347","","Lunania mexicana","26.9","C",NA,""
"13348","","Lunania mexicana","26.7","C",NA,""
"13349","","Lunania mexicana","26","C",NA,""
"13350","","Lunania mexicana","26.3","C",NA,""
"13351","","Lunania mexicana","26.3","C",NA,""
"13352","","Lunania mexicana","24.7","C",NA,""
"13353","","Lunania mexicana","22.7","C",NA,""
"13354","","Lunania mexicana","24.3","C",NA,""
"13355","","Lunania mexicana","429.1","mm",NA,""
"13356","","Lunania mexicana","350.4","mm",NA,""
"13357","","Lunania mexicana","138.4","mm",NA,""
"13358","","Lunania mexicana","108.9","mm",NA,""
"13359","","Lunania mexicana","101.7","mm",NA,""
"13360","","Lunania mexicana","453.2","mm",NA,""
"13361","","Lunania mexicana","455.6","mm",NA,""
"13362","","Lunania mexicana","553.7","mm",NA,""
"13363","","Lunania mexicana","589.2","mm",NA,""
"13364","","Lunania mexicana","582.5","mm",NA,""
"13365","","Lunania mexicana","560.2","mm",NA,""
"13366","","Lunania mexicana","402.3","mm",NA,""
"13367","","Lunania mexicana","0.566969271","kPa",NA,""
"13368","","Lunania mexicana","0.754174783","kPa",NA,""
"13369","","Lunania mexicana","0.840131111","kPa",NA,""
"13370","","Lunania mexicana","1.130535131","kPa",NA,""
"13371","","Lunania mexicana","1.151291747","kPa",NA,""
"13372","","Lunania mexicana","1.025413898","kPa",NA,""
"13373","","Lunania mexicana","0.908451958","kPa",NA,""
"13374","","Lunania mexicana","0.942730817","kPa",NA,""
"13375","","Lunania mexicana","0.842872712","kPa",NA,""
"13376","","Lunania mexicana","0.740035224","kPa",NA,""
"13377","","Lunania mexicana","0.719761723","kPa",NA,""
"13378","","Lunania mexicana","0.588930474","kPa",NA,""
"13379","","Lunania mexicana","136","W7m2",NA,""
"13380","","Lunania mexicana","166","W7m2",NA,""
"13381","","Lunania mexicana","177","W7m2",NA,""
"13382","","Lunania mexicana","174","W7m2",NA,""
"13383","","Lunania mexicana","182","W7m2",NA,""
"13384","","Lunania mexicana","173","W7m2",NA,""
"13385","","Lunania mexicana","183","W7m2",NA,""
"13386","","Lunania mexicana","185","W7m2",NA,""
"13387","","Lunania mexicana","153","W7m2",NA,""
"13388","","Lunania mexicana","150","W7m2",NA,""
"13389","","Lunania mexicana","142","W7m2",NA,""
"13390","","Lunania mexicana","129","W7m2",NA,""
"13391","","Lunania mexicana","85.925","mm",NA,""
"13392","","Lunania mexicana","101.825","mm",NA,""
"13393","","Lunania mexicana","123.9","mm",NA,""
"13394","","Lunania mexicana","164.45","mm",NA,""
"13395","","Lunania mexicana","184.45","mm",NA,""
"13396","","Lunania mexicana","104.95","mm",NA,""
"13397","","Lunania mexicana","102.45","mm",NA,""
"13398","","Lunania mexicana","103.225","mm",NA,""
"13399","","Lunania mexicana","85.95","mm",NA,""
"13400","","Lunania mexicana","75.75","mm",NA,""
"13401","","Lunania mexicana","88.25","mm",NA,""
"13402","","Lunania mexicana","81.85","mm",NA,""
"13403","","Trema micrantha","Bongers","",NA,""
"13404","","Trema micrantha","Bongers_et_al_Los_Tuxtlas","",NA,""
"13405","","Trema micrantha","angio","",NA,""
"13406","Plant nitrogen fixation capacity","Trema micrantha","N","",NA,""
"13407","Leaf area per leaf dry mass (specific leaf area, SLA)","Trema micrantha","174.0715553","cm2/g",17.40715553,"mm2 mg-1"
"13408","Leaf area per leaf dry mass (specific leaf area, SLA)","Trema micrantha","57.44763975","g/m2",17.40715553,"mm2 mg-1"
"13409","Leaf nitrogen (N) content per leaf dry mass","Trema micrantha","2.293","%",22.93,"mg/g"
"13410","Leaf phosphorus (P) content per leaf dry mass","Trema micrantha","0.15115","%",1.5115,"mg/g"
"13411","Plant height","Trema micrantha","15","m",15,"m"
"13412","","Trema micrantha","-18","",18,""
"13413","","Trema micrantha","-93.5","",-93.5,""
"13414","","Trema micrantha","340","m",340,"m"
"13415","","Trema micrantha","24.6","C",NA,""
"13416","","Trema micrantha","24.6","C",NA,""
"13417","","Trema micrantha","5","",NA,""
"13418","","Trema micrantha","8","",NA,""
"13419","","Trema micrantha","4725","mm",NA,""
"13420","","Trema micrantha","4725.2","mm",NA,""
"13421","","Trema micrantha","6","",NA,""
"13422","","Trema micrantha","6","",NA,""
"13423","","Trema micrantha","0.850941571","kPa",NA,""
"13424","","Trema micrantha","0.850941571","kPa",NA,""
"13425","","Trema micrantha","5","",NA,""
"13426","","Trema micrantha","6","",NA,""
"13427","","Trema micrantha","162.5","W/m2",NA,""
"13428","","Trema micrantha","162.5","",NA,""
"13429","","Trema micrantha","6","",NA,""
"13430","","Trema micrantha","4","",NA,""
"13431","","Trema micrantha","1302.975","mm",NA,""
"13432","","Trema micrantha","1302.975","mm",NA,""
"13433","","Trema micrantha","4","",NA,""
"13434","","Trema micrantha","3422.225","mm",NA,""
"13435","","Trema micrantha","3422.225","mm",NA,""
"13436","","Trema micrantha","6","",NA,""
"13437","","Trema micrantha","3.626316698","",NA,""
"13438","","Trema micrantha","349","mm",NA,""
"13439","Leaf nitrogen/phosphorus (N/P) ratio","Trema micrantha","15.17036057","g/g",15.17036057,"g/g"
"13440","Species ocurrence range: climate type","Trema micrantha","TROP","",NA,""
"13441","","Trema micrantha","9","",NA,""
"13442","","Trema micrantha","20.7","C",NA,""
"13443","","Trema micrantha","21.1","C",NA,""
"13444","","Trema micrantha","23.7","C",NA,""
"13445","","Trema micrantha","25.8","C",NA,""
"13446","","Trema micrantha","26.9","C",NA,""
"13447","","Trema micrantha","26.7","C",NA,""
"13448","","Trema micrantha","26","C",NA,""
"13449","","Trema micrantha","26.3","C",NA,""
"13450","","Trema micrantha","26.3","C",NA,""
"13451","","Trema micrantha","24.7","C",NA,""
"13452","","Trema micrantha","22.7","C",NA,""
"13453","","Trema micrantha","24.3","C",NA,""
"13454","","Trema micrantha","429.1","mm",NA,""
"13455","","Trema micrantha","350.4","mm",NA,""
"13456","","Trema micrantha","138.4","mm",NA,""
"13457","","Trema micrantha","108.9","mm",NA,""
"13458","","Trema micrantha","101.7","mm",NA,""
"13459","","Trema micrantha","453.2","mm",NA,""
"13460","","Trema micrantha","455.6","mm",NA,""
"13461","","Trema micrantha","553.7","mm",NA,""
"13462","","Trema micrantha","589.2","mm",NA,""
"13463","","Trema micrantha","582.5","mm",NA,""
"13464","","Trema micrantha","560.2","mm",NA,""
"13465","","Trema micrantha","402.3","mm",NA,""
"13466","","Trema micrantha","0.566969271","kPa",NA,""
"13467","","Trema micrantha","0.754174783","kPa",NA,""
"13468","","Trema micrantha","0.840131111","kPa",NA,""
"13469","","Trema micrantha","1.130535131","kPa",NA,""
"13470","","Trema micrantha","1.151291747","kPa",NA,""
"13471","","Trema micrantha","1.025413898","kPa",NA,""
"13472","","Trema micrantha","0.908451958","kPa",NA,""
"13473","","Trema micrantha","0.942730817","kPa",NA,""
"13474","","Trema micrantha","0.842872712","kPa",NA,""
"13475","","Trema micrantha","0.740035224","kPa",NA,""
"13476","","Trema micrantha","0.719761723","kPa",NA,""
"13477","","Trema micrantha","0.588930474","kPa",NA,""
"13478","","Trema micrantha","136","W7m2",NA,""
"13479","","Trema micrantha","166","W7m2",NA,""
"13480","","Trema micrantha","177","W7m2",NA,""
"13481","","Trema micrantha","174","W7m2",NA,""
"13482","","Trema micrantha","182","W7m2",NA,""
"13483","","Trema micrantha","173","W7m2",NA,""
"13484","","Trema micrantha","183","W7m2",NA,""
"13485","","Trema micrantha","185","W7m2",NA,""
"13486","","Trema micrantha","153","W7m2",NA,""
"13487","","Trema micrantha","150","W7m2",NA,""
"13488","","Trema micrantha","142","W7m2",NA,""
"13489","","Trema micrantha","129","W7m2",NA,""
"13490","","Trema micrantha","85.925","mm",NA,""
"13491","","Trema micrantha","101.825","mm",NA,""
"13492","","Trema micrantha","123.9","mm",NA,""
"13493","","Trema micrantha","164.45","mm",NA,""
"13494","","Trema micrantha","184.45","mm",NA,""
"13495","","Trema micrantha","104.95","mm",NA,""
"13496","","Trema micrantha","102.45","mm",NA,""
"13497","","Trema micrantha","103.225","mm",NA,""
"13498","","Trema micrantha","85.95","mm",NA,""
"13499","","Trema micrantha","75.75","mm",NA,""
"13500","","Trema micrantha","88.25","mm",NA,""
"13501","","Trema micrantha","81.85","mm",NA,""
"13502","","Turpinia occidentalis","Bongers","",NA,""
"13503","","Turpinia occidentalis","Bongers_et_al_Los_Tuxtlas","",NA,""
"13504","","Turpinia occidentalis","angio","",NA,""
"13505","Plant nitrogen fixation capacity","Turpinia occidentalis","N","",NA,""
"13506","Leaf area per leaf dry mass (specific leaf area, SLA)","Turpinia occidentalis","123.494142","cm2/g",12.3494142,"mm2 mg-1"
"13507","Leaf area per leaf dry mass (specific leaf area, SLA)","Turpinia occidentalis","80.97550087","g/m2",12.3494142,"mm2 mg-1"
"13508","Leaf nitrogen (N) content per leaf dry mass","Turpinia occidentalis","1.118","%",11.18,"mg/g"
"13509","Leaf phosphorus (P) content per leaf dry mass","Turpinia occidentalis","0.0756","%",0.756,"mg/g"
"13510","Plant height","Turpinia occidentalis","20","m",20,"m"
"13511","","Turpinia occidentalis","-18","",18,""
"13512","","Turpinia occidentalis","-93.5","",-93.5,""
"13513","","Turpinia occidentalis","340","m",340,"m"
"13514","","Turpinia occidentalis","24.6","C",NA,""
"13515","","Turpinia occidentalis","24.6","C",NA,""
"13516","","Turpinia occidentalis","5","",NA,""
"13517","","Turpinia occidentalis","8","",NA,""
"13518","","Turpinia occidentalis","4725","mm",NA,""
"13519","","Turpinia occidentalis","4725.2","mm",NA,""
"13520","","Turpinia occidentalis","6","",NA,""
"13521","","Turpinia occidentalis","6","",NA,""
"13522","","Turpinia occidentalis","0.850941571","kPa",NA,""
"13523","","Turpinia occidentalis","0.850941571","kPa",NA,""
"13524","","Turpinia occidentalis","5","",NA,""
"13525","","Turpinia occidentalis","6","",NA,""
"13526","","Turpinia occidentalis","162.5","W/m2",NA,""
"13527","","Turpinia occidentalis","162.5","",NA,""
"13528","","Turpinia occidentalis","6","",NA,""
"13529","","Turpinia occidentalis","4","",NA,""
"13530","","Turpinia occidentalis","1302.975","mm",NA,""
"13531","","Turpinia occidentalis","1302.975","mm",NA,""
"13532","","Turpinia occidentalis","4","",NA,""
"13533","","Turpinia occidentalis","3422.225","mm",NA,""
"13534","","Turpinia occidentalis","3422.225","mm",NA,""
"13535","","Turpinia occidentalis","6","",NA,""
"13536","","Turpinia occidentalis","3.626316698","",NA,""
"13537","","Turpinia occidentalis","349","mm",NA,""
"13538","Leaf nitrogen/phosphorus (N/P) ratio","Turpinia occidentalis","14.78835979","g/g",14.78835979,"g/g"
"13539","Species ocurrence range: climate type","Turpinia occidentalis","TROP","",NA,""
"13540","","Turpinia occidentalis","9","",NA,""
"13541","","Turpinia occidentalis","20.7","C",NA,""
"13542","","Turpinia occidentalis","21.1","C",NA,""
"13543","","Turpinia occidentalis","23.7","C",NA,""
"13544","","Turpinia occidentalis","25.8","C",NA,""
"13545","","Turpinia occidentalis","26.9","C",NA,""
"13546","","Turpinia occidentalis","26.7","C",NA,""
"13547","","Turpinia occidentalis","26","C",NA,""
"13548","","Turpinia occidentalis","26.3","C",NA,""
"13549","","Turpinia occidentalis","26.3","C",NA,""
"13550","","Turpinia occidentalis","24.7","C",NA,""
"13551","","Turpinia occidentalis","22.7","C",NA,""
"13552","","Turpinia occidentalis","24.3","C",NA,""
"13553","","Turpinia occidentalis","429.1","mm",NA,""
"13554","","Turpinia occidentalis","350.4","mm",NA,""
"13555","","Turpinia occidentalis","138.4","mm",NA,""
"13556","","Turpinia occidentalis","108.9","mm",NA,""
"13557","","Turpinia occidentalis","101.7","mm",NA,""
"13558","","Turpinia occidentalis","453.2","mm",NA,""
"13559","","Turpinia occidentalis","455.6","mm",NA,""
"13560","","Turpinia occidentalis","553.7","mm",NA,""
"13561","","Turpinia occidentalis","589.2","mm",NA,""
"13562","","Turpinia occidentalis","582.5","mm",NA,""
"13563","","Turpinia occidentalis","560.2","mm",NA,""
"13564","","Turpinia occidentalis","402.3","mm",NA,""
"13565","","Turpinia occidentalis","0.566969271","kPa",NA,""
"13566","","Turpinia occidentalis","0.754174783","kPa",NA,""
"13567","","Turpinia occidentalis","0.840131111","kPa",NA,""
"13568","","Turpinia occidentalis","1.130535131","kPa",NA,""
"13569","","Turpinia occidentalis","1.151291747","kPa",NA,""
"13570","","Turpinia occidentalis","1.025413898","kPa",NA,""
"13571","","Turpinia occidentalis","0.908451958","kPa",NA,""
"13572","","Turpinia occidentalis","0.942730817","kPa",NA,""
"13573","","Turpinia occidentalis","0.842872712","kPa",NA,""
"13574","","Turpinia occidentalis","0.740035224","kPa",NA,""
"13575","","Turpinia occidentalis","0.719761723","kPa",NA,""
"13576","","Turpinia occidentalis","0.588930474","kPa",NA,""
"13577","","Turpinia occidentalis","136","W7m2",NA,""
"13578","","Turpinia occidentalis","166","W7m2",NA,""
"13579","","Turpinia occidentalis","177","W7m2",NA,""
"13580","","Turpinia occidentalis","174","W7m2",NA,""
"13581","","Turpinia occidentalis","182","W7m2",NA,""
"13582","","Turpinia occidentalis","173","W7m2",NA,""
"13583","","Turpinia occidentalis","183","W7m2",NA,""
"13584","","Turpinia occidentalis","185","W7m2",NA,""
"13585","","Turpinia occidentalis","153","W7m2",NA,""
"13586","","Turpinia occidentalis","150","W7m2",NA,""
"13587","","Turpinia occidentalis","142","W7m2",NA,""
"13588","","Turpinia occidentalis","129","W7m2",NA,""
"13589","","Turpinia occidentalis","85.925","mm",NA,""
"13590","","Turpinia occidentalis","101.825","mm",NA,""
"13591","","Turpinia occidentalis","123.9","mm",NA,""
"13592","","Turpinia occidentalis","164.45","mm",NA,""
"13593","","Turpinia occidentalis","184.45","mm",NA,""
"13594","","Turpinia occidentalis","104.95","mm",NA,""
"13595","","Turpinia occidentalis","102.45","mm",NA,""
"13596","","Turpinia occidentalis","103.225","mm",NA,""
"13597","","Turpinia occidentalis","85.95","mm",NA,""
"13598","","Turpinia occidentalis","75.75","mm",NA,""
"13599","","Turpinia occidentalis","88.25","mm",NA,""
"13600","","Turpinia occidentalis","81.85","mm",NA,""
"13601","","Tetragastris panamensis","Coley","",NA,""
"13602","","Tetragastris panamensis","Coley_BCI","",NA,""
"13603","","Tetragastris panamensis","angio","",NA,""
"13604","Plant nitrogen fixation capacity","Tetragastris panamensis","N","",NA,""
